facility_id,zipcode,program_type,facility_name,total_capacity,under5_capacity,preschool_capacity,school_age_capacity,children_capacity,latitude,longitude,m1_max_expand,m1_unit_cost,m2_max_expand,m2_tier1_cap,m2_tier2_cap,m2_tier3_cap,m2_ucost_t1,m2_ucost_t2,m2_ucost_t3
172380,10306,GFDC,Congregation Toras Emes,16,12,0,4,12,40.559204,-74.125539,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
769206,10456,SACC,"Southeast Bronx Neighborhood Centers, Inc",79,0,0,79,0,40.823296,-73.903164,94.8,453.1645569620253,15.8,7.9,11.85,15.8,453.1645569620253,653.1645569620254,1253.1645569620252
267366,11210,GFDC,"Nurse, Cora",16,12,0,4,12,40.63394,-73.950656,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
791983,10037,GFDC,Moore Hugs and Learn Family Daycare,16,12,0,4,12,40.815962,-73.937661,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
576262,10473,FDC,"Sheocharan, Jasso",8,6,0,2,6,40.816245,-73.862879,9.6,2700.0,1.6,0.8,1.2,1.6,2700.0,2900.0,3500.0
74215,10033,SACC,"Catholic Charities Community Services, Archdiocese of New York @ IS 143",152,0,0,152,0,40.84928,-73.931431,182.4,331.57894736842104,30.400000000000002,15.200000000000001,22.8,30.400000000000002,331.57894736842104,531.578947368421,1131.578947368421
585734,11220,GFDC,CLARIMAR KIDS CORP.,16,12,0,4,12,40.647348,-74.011331,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
607560,10452,GFDC,Dynamic First Steps Group Family Daycare Corp.,16,12,0,4,12,40.834317,-73.918321,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
251464,11237,GFDC,"Rosado, Maria",16,12,0,4,12,40.698064,-73.91312,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
728553,10473,SACC,"Aspira of New York, Inc.",295,0,0,295,0,40.823491,-73.859805,205.0,267.79661016949154,59.0,29.5,44.25,59.0,267.79661016949154,467.79661016949154,1067.7966101694915
815237,11204,GFDC,"Smart Cookies, LLC",16,12,0,4,12,40.630146,-73.980706,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
233516,10457,SACC,KIPS BAY BOYS & GIRLS CLUB HELP MORRIS,40,0,0,40,0,40.838976,-73.910195,48.0,700.0,8.0,4.0,6.0,8.0,700.0,900.0,1500.0
647797,11412,FDC,"Gibbons, Tondelayo",8,6,0,2,6,40.694618,-73.749959,9.6,2700.0,1.6,0.8,1.2,1.6,2700.0,2900.0,3500.0
367235,11233,GFDC,The Educational Garden,16,12,0,4,12,40.684076,-73.918325,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
867682,10458,GFDC,"Cedano Martinez, Jennifer",14,12,0,2,12,40.87136,-73.885563,16.8,1628.5714285714287,2.8000000000000003,1.4000000000000001,2.1,2.8000000000000003,1628.5714285714287,1828.5714285714287,2428.5714285714284
404046,11226,GFDC,"Maggies My Care Daycare, LLC",14,12,0,2,12,40.645574,-73.963485,16.8,1628.5714285714287,2.8000000000000003,1.4000000000000001,2.1,2.8000000000000003,1628.5714285714287,1828.5714285714287,2428.5714285714284
73477,10002,SACC,University Settlement Society of New York,41,0,0,41,0,40.720388,-73.990992,49.199999999999996,687.8048780487804,8.200000000000001,4.1000000000000005,6.1499999999999995,8.200000000000001,687.8048780487804,887.8048780487804,1487.8048780487804
794955,11204,GFDC,"Little Dimples, Inc.",16,12,0,4,12,40.624681,-73.978301,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
72446,10009,GFDC,Independent Toddler Childcare,16,12,0,4,12,40.729852,-73.981527,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
405628,11416,GFDC,SMILING KIDS 2 DAY CARE,16,12,0,4,12,40.682021,-73.855402,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
216690,11207,GFDC,The Kids Private Playhouse,16,12,0,4,12,40.662905,-73.886155,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
807903,10457,GFDC,Creating Stars Family Daycare LLC.,14,12,0,2,12,40.844611,-73.911004,16.8,1628.5714285714287,2.8000000000000003,1.4000000000000001,2.1,2.8000000000000003,1628.5714285714287,1828.5714285714287,2428.5714285714284
732829,11411,GFDC,"Rowe, Cynthia",16,12,0,4,12,40.695873,-73.734437,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
449081,11231,GFDC,"Mc Keown, Catherine",16,12,0,4,12,40.680565,-73.993092,19.2,1450.0,3.2,1.6,2.4,3.2,1450.0,1650.0,2250.0
754427,10456,SACC,"DIRECTIONS FOR  OUR YOUTH, INC",53,0,0,53,0,40.835578,-73.90729,63.599999999999994,577.3584905660377,10.600000000000001,5.300000000000001,7.949999999999999,10.600000000000001,577.3584905660377,777.3584905660377,1377.3584905660377
