zipcode,pop_0_5,pop_6_12,pop_0_12,avg_income,employment_rate,num_facilities,total_slots,under5_slots,num_candidate_sites,income_imputed,employment_imputed,is_high_demand,demand_ratio,min_total_slots,min_u5_slots,is_desert,u5_deficit,total_gap,u5_gap
11214,5230,8134,13364,51150.96359743041,0.462905854883475,32,2498,233,100,False,False,True,0.5,6683,3487,True,True,4185,3254
11215,5712,6491,12203,107133.58778625954,0.4547726830893993,85,3125,870,100,False,False,False,0.3333333333333333,4068,3808,True,True,943,2938
11216,3107,4063,7170,65817.74081774082,0.4627002068202587,32,1778,204,100,False,False,False,0.3333333333333333,2391,2072,True,True,613,1868
11217,3694,2413,6107,102531.34040501446,0.4818213497502613,24,1183,198,100,False,False,False,0.3333333333333333,2036,2463,True,True,853,2265
11218,4931,8293,13224,65583.38377723971,0.450639679205652,59,3087,518,100,False,False,False,0.3333333333333333,4409,3288,True,True,1322,2770
11219,12125,14622,26747,44299.33061699651,0.3723329323927484,91,2595,1012,100,False,False,True,0.5,13374,8084,True,True,10779,7072
11220,5782,10905,16687,37017.22832260508,0.5679081369344573,44,2251,396,100,False,False,True,0.5,8344,3855,True,True,6093,3459
11221,4616,6497,11113,53503.67197062424,0.4477399272217107,79,2971,715,100,False,False,True,0.5,5557,3078,True,True,2586,2363
11222,2443,1843,4286,89192.82029234737,0.5795151605750305,11,672,72,100,False,False,False,0.3333333333333333,1429,1629,True,True,757,1557
11223,6642,8838,15480,55444.328669246795,0.4192827630971253,19,1448,144,100,False,False,True,0.5,7741,4428,True,True,6293,4284
11224,2274,3939,6213,50012.23091976516,0.4267847075773077,17,1165,90,100,False,False,True,0.5,3107,1516,True,True,1942,1426
11225,3053,3791,6844,59241.72637325145,0.5012312743689719,52,1985,433,100,False,False,True,0.5,3423,2036,True,True,1438,1603
11226,5566,7471,13037,51581.9099378882,0.5098314745727489,80,3099,600,100,False,False,True,0.5,6519,3711,True,True,3420,3111
11228,2279,3507,5786,60916.66666666667,0.4751561227260386,13,1212,84,100,False,False,False,0.3333333333333333,1929,1520,True,True,717,1436
11229,4778,7738,12516,63066.07521186441,0.4655463635354893,36,1840,288,100,False,False,False,0.3333333333333333,4173,3186,True,True,2333,2898
11230,7918,9489,17407,61947.777474775015,0.4063383012909302,28,824,312,100,False,False,False,0.3333333333333333,5803,5279,True,True,4979,4967
11231,3167,3710,6877,99623.89380530972,0.4365293981302635,37,1462,330,100,False,False,False,0.3333333333333333,2293,2112,True,True,831,1782
11232,1542,2537,4079,52851.94174757282,0.4392792408572342,32,1699,292,100,False,False,True,0.5,2040,1028,True,True,341,736
11233,5703,7106,12809,50900.47393364929,0.3807518796992481,62,3415,444,100,False,False,True,0.5,6405,3802,True,True,2990,3358
