zipcode,location_id,size,latitude,longitude,cap_total,cap_u5,build_cost
10314,5604,large,40.6078584214008,-74.15055827640532,400,200,115000
10314,5606,large,40.604306198613905,-74.14609714363958,400,200,115000
10314,5608,large,40.602968094534496,-74.13946465005216,400,200,115000
10314,5609,large,40.59953994727801,-74.14871458050393,400,200,115000
10314,5610,large,40.60327841106863,-74.15304780413088,400,200,115000
10314,5611,large,40.61093988615281,-74.15479975612342,400,200,115000
10314,5613,large,40.59844037044465,-74.14733866804183,400,200,115000
10314,5692,large,40.60970458916414,-74.13894212714422,400,200,115000
10314,5693,large,40.607798914775415,-74.147784822494,400,200,115000
10314,5696,large,40.60095927370588,-74.14312784861835,400,200,115000
10314,5697,large,40.60462971159174,-74.14382228877031,400,200,115000
10314,5698,large,40.61199140435448,-74.14191557875246,400,200,115000
10314,5699,large,40.60107728757337,-74.15284857031074,400,200,115000
10451,5745,large,40.81359234418813,-73.9194171876867,400,200,115000
10451,5746,large,40.83122641574408,-73.93059406599457,400,200,115000
10451,5757,large,40.83038949702991,-73.91456802521759,400,200,115000
10451,5764,large,40.82805728546094,-73.9260304294943,400,200,115000
10451,5776,large,40.81659777977013,-73.91837083314373,400,200,115000
10452,5804,large,40.84587907846747,-73.93157383627357,400,200,115000
10452,5805,large,40.82780533448299,-73.92202661682425,400,200,115000
10453,5900,large,40.85950498422632,-73.91833725553518,400,200,115000
10453,5949,large,40.84514794374941,-73.91574643961705,400,200,115000
10454,6071,large,40.804150856249514,-73.92532499887412,400,200,115000
10454,6079,large,40.80722000762807,-73.91100788983199,400,200,115000
10454,6080,large,40.811275461247945,-73.9280332552555,400,200,115000
10454,6083,large,40.80518269925925,-73.92163039664483,400,200,115000
10454,6096,large,40.8123131941183,-73.91209375529975,400,200,115000
10455,6100,large,40.816088304554015,-73.91321425502261,400,200,115000
10455,6197,large,40.80590567925321,-73.89762063790667,400,200,115000
10456,6201,large,40.839815546420176,-73.9026132829351,400,200,115000
10456,6203,large,40.82411566589104,-73.91146850518214,400,200,115000
10456,6206,large,40.82291831199587,-73.91054601985459,400,200,115000
10456,6210,large,40.82414540767166,-73.90946104707447,400,200,115000
10456,6251,large,40.82875233741394,-73.91105123504721,400,200,115000
10456,6253,large,40.836381959865335,-73.91762064171914,400,200,115000
10456,6254,large,40.82226808859947,-73.90966185049892,400,200,115000
10456,6255,large,40.822266799888936,-73.90531421357494,400,200,115000
10457,6304,large,40.85693309513813,-73.9042581235539,400,200,115000
10457,6307,large,40.8542855398216,-73.89383418587066,400,200,115000
10457,6330,large,40.83980303148746,-73.89659317049839,400,200,115000
10457,6346,large,40.855845053354045,-73.89475642918887,400,200,115000
10457,6352,large,40.84853740492997,-73.90788146840725,400,200,115000
10457,6353,large,40.844619451081655,-73.90270362975166,400,200,115000
10457,6380,large,40.855833642341686,-73.89085593748597,400,200,115000
10457,6390,large,40.85768877786281,-73.90902659610138,400,200,115000
10458,6404,large,40.86479727372273,-73.88158574500635,400,200,115000
10458,6405,large,40.86064506135063,-73.8806665695694,400,200,115000
10458,6407,large,40.8667981615396,-73.89649206119628,400,200,115000
10458,6412,large,40.86690173200458,-73.89398321253742,400,200,115000
10458,6413,large,40.85345687701236,-73.87992224686931,400,200,115000
10458,6494,large,40.865123424787726,-73.88453566149568,400,200,115000
10458,6499,large,40.86296860753208,-73.88084386343628,400,200,115000
10459,6511,large,40.83151780239206,-73.90044138660552,400,200,115000
10459,6514,large,40.827706803181,-73.88447900777973,400,200,115000
10459,6525,large,40.816264213935234,-73.88802568021977,400,200,115000
10459,6545,large,40.81815613170529,-73.88750099497676,400,200,115000
10459,6579,large,40.83373515094944,-73.88518572740071,400,200,115000
10460,6601,large,40.83101912083923,-73.87668316864851,400,200,115000
10460,6697,large,40.84772822391132,-73.88733154114776,400,200,115000
10460,6698,large,40.84058439978267,-73.87097966250262,400,200,115000
10461,6703,large,40.850421607656216,-73.84153243262494,400,200,115000
10461,6704,large,40.846044293000574,-73.84171146624432,400,200,115000
10461,6707,large,40.84517797453673,-73.84658623252898,400,200,115000
10461,6762,large,40.85152474441749,-73.83950941579869,400,200,115000
10461,6766,large,40.83894679764483,-73.83458788665739,400,200,115000
10461,6767,large,40.837271533007105,-73.83427959043334,400,200,115000
10461,6769,large,40.84774801135955,-73.84743369224968,400,200,115000
10462,6805,large,40.844298132751135,-73.85205655766805,400,200,115000
10462,6806,large,40.84794475844902,-73.8555639017349,400,200,115000
10462,6807,large,40.84540698183772,-73.86148217193347,400,200,115000
10462,6816,large,40.84944102800559,-73.86208218968096,400,200,115000
10462,6817,large,40.84820143936894,-73.86681203303498,400,200,115000
10462,6820,large,40.84788189487213,-73.85311976553157,400,200,115000
10462,6824,large,40.851998061773294,-73.85638748349484,400,200,115000
10462,6825,large,40.84603935375897,-73.85481169753422,400,200,115000
10462,6893,large,40.84689413629267,-73.86952767283852,400,200,115000
10462,6895,large,40.836970666115775,-73.86538966477161,400,200,115000
10462,6896,large,40.83563142520814,-73.86885994723285,400,200,115000
10462,6898,large,40.83558936203298,-73.8587584667026,400,200,115000
10463,6901,large,40.87035592912284,-73.9137900568298,400,200,115000
10463,6973,large,40.87322556018279,-73.90122404251487,400,200,115000
10463,6995,large,40.87818295487935,-73.91231316613418,400,200,115000
10463,6996,large,40.88198995409594,-73.90022363779255,400,200,115000
10463,6997,large,40.88698998599827,-73.90954340452646,400,200,115000
10463,6998,large,40.88273735581912,-73.90731661919807,400,200,115000
10463,6999,large,40.884468398846174,-73.90534354560653,400,200,115000
10464,7024,small,40.83805049685026,-73.77790415876092,100,50,65000
10465,7100,large,40.83420255287488,-73.82182531530609,400,200,115000
10465,7101,large,40.81693191784429,-73.82128111898815,400,200,115000
10465,7102,large,40.82396509024088,-73.80983456097452,400,200,115000
10465,7105,large,40.83126380031453,-73.81218571828835,400,200,115000
10465,7106,large,40.82094562493943,-73.82745197738497,400,200,115000
10465,7197,large,40.81765305026707,-73.81646772116245,400,200,115000
10465,7198,large,40.82452472856907,-73.82580996180833,400,200,115000
10466,7201,large,40.88936234079193,-73.85807719151228,400,200,115000
10466,7204,large,40.8813908992816,-73.84308532218421,400,200,115000
10466,7240,large,40.88470528291624,-73.84697265099078,400,200,115000
10466,7260,large,40.89036888134034,-73.84371910030019,400,200,115000
10466,7266,large,40.8851657294299,-73.84138177545645,400,200,115000
10466,7267,large,40.88125312016032,-73.84654312007454,400,200,115000
10466,7295,large,40.89136476484242,-73.85051233653506,400,200,115000
