location_id,zipcode,latitude,longitude,size,total_slots,under5_slots,build_cost,equip_cost,total_cost
10784,11219.0,40.64265144875352,-74.00350138371189,L,400,200,115000,20000,135000
10786,11219.0,40.62812645996464,-73.99517883739391,L,400,200,115000,20000,135000
10787,11219.0,40.641967401893375,-73.98781092288185,L,400,200,115000,20000,135000
10788,11219.0,40.62839604323765,-73.98726159248518,L,400,200,115000,20000,135000
10789,11219.0,40.638640978203966,-73.99378177720298,L,400,200,115000,20000,135000
10790,11219.0,40.63733731990367,-74.00149538514417,L,400,200,115000,20000,135000
10802,11220.0,40.64552150799337,-74.00756442345941,L,400,200,115000,20000,135000
10804,11220.0,40.633807860941154,-74.02167102019355,L,400,200,115000,20000,135000
10811,11220.0,40.63775908113649,-74.010410942236,L,400,200,115000,20000,135000
10814,11220.0,40.635566087209455,-74.00524524452774,L,400,200,115000,20000,135000
10815,11220.0,40.63982852679717,-74.01790938305982,L,400,200,115000,20000,135000
10821,11220.0,40.63342583008344,-74.01175864910107,L,400,200,115000,20000,135000
10837,11220.0,40.63381924965815,-74.00403843835835,L,400,200,115000,20000,135000
10839,11220.0,40.63240855491255,-74.01716781045852,L,400,200,115000,20000,135000
10840,11220.0,40.63240024678537,-74.00456962167796,L,400,200,115000,20000,135000
10848,11220.0,40.63413159915988,-74.0051985575963,L,400,200,115000,20000,135000
10866,11220.0,40.63484831234808,-74.00680700869484,L,400,200,115000,20000,135000
10870,11220.0,40.64802229259307,-74.01902301210814,L,400,200,115000,20000,135000
10876,11220.0,40.649686258390965,-74.00786872876901,S,100,50,65000,5000,70000
10878,11220.0,40.63664756994393,-74.00595317858964,L,400,200,115000,20000,135000
10884,11220.0,40.63781892330982,-74.02131155708467,L,400,200,115000,20000,135000
10889,11220.0,40.63248274246953,-74.01328427536396,L,400,200,115000,20000,135000
10890,11220.0,40.6390921582064,-74.01059108824167,L,400,200,115000,20000,135000
10893,11220.0,40.635479944023054,-74.01600591541184,L,400,200,115000,20000,135000
10900,11221.0,40.68092322756094,-73.93455183092256,L,400,200,115000,20000,135000
10924,11221.0,40.68233971819242,-73.93199163375381,L,400,200,115000,20000,135000
10926,11221.0,40.69850211425828,-73.91745537855567,L,400,200,115000,20000,135000
10933,11221.0,40.693074900124245,-73.93326602518646,L,400,200,115000,20000,135000
10957,11221.0,40.69385770484507,-73.93204492722697,L,400,200,115000,20000,135000
10962,11221.0,40.695563074600265,-73.93726601644408,L,400,200,115000,20000,135000
10966,11221.0,40.69460197232483,-73.9189929337069,L,400,200,115000,20000,135000
10973,11221.0,40.68726788055673,-73.92244784812506,L,400,200,115000,20000,135000
10981,11221.0,40.698205266820366,-73.9339523590144,L,400,200,115000,20000,135000
10984,11221.0,40.69062224965607,-73.91902788429068,L,400,200,115000,20000,135000
10985,11221.0,40.68634702449758,-73.92740915706564,L,400,200,115000,20000,135000
10997,11221.0,40.69185906428384,-73.91770264538656,L,400,200,115000,20000,135000
11019,11222.0,40.7268899398759,-73.95519603049742,L,400,200,115000,20000,135000
11035,11222.0,40.72081266412504,-73.9439760872011,L,400,200,115000,20000,135000
11036,11222.0,40.71747689254045,-73.94583797322174,L,400,200,115000,20000,135000
11040,11222.0,40.72167317088006,-73.94227097579706,L,400,200,115000,20000,135000
11045,11222.0,40.72150318547374,-73.95147488950579,L,400,200,115000,20000,135000
11071,11222.0,40.73334294575123,-73.95663956080955,L,400,200,115000,20000,135000
11075,11222.0,40.72494136691555,-73.9427461157788,L,400,200,115000,20000,135000
11087,11222.0,40.73546942452783,-73.94713104326271,L,400,200,115000,20000,135000
11102,11223.0,40.60618716695428,-73.97217421376884,L,400,200,115000,20000,135000
11106,11223.0,40.60312652374269,-73.9732777940472,L,400,200,115000,20000,135000
11107,11223.0,40.60317432468781,-73.9837139620902,L,400,200,115000,20000,135000
11109,11223.0,40.58973191518634,-73.98312480020475,L,400,200,115000,20000,135000
11110,11223.0,40.60701659795029,-73.97841343345526,L,400,200,115000,20000,135000
11117,11223.0,40.59165299289434,-73.9731939620352,L,400,200,115000,20000,135000
11121,11223.0,40.607013938057754,-73.97150805022555,L,400,200,115000,20000,135000
11129,11223.0,40.60565890693261,-73.97365622507884,L,400,200,115000,20000,135000
11130,11223.0,40.595978548416184,-73.98181252128425,L,400,200,115000,20000,135000
11135,11223.0,40.59533425099234,-73.97903321695354,L,400,200,115000,20000,135000
11140,11223.0,40.5945676455198,-73.97081903742219,L,400,200,115000,20000,135000
11148,11223.0,40.58906357130583,-73.97898082527432,L,400,200,115000,20000,135000
11150,11223.0,40.596241807748605,-73.96610623259113,L,400,200,115000,20000,135000
11152,11223.0,40.60450292633136,-73.98187606153246,L,400,200,115000,20000,135000
11161,11223.0,40.58836244426057,-73.96900119718921,L,400,200,115000,20000,135000
11167,11223.0,40.59759383929707,-73.98276270975974,L,400,200,115000,20000,135000
11182,11223.0,40.606477661845446,-73.98185161179592,L,400,200,115000,20000,135000
11183,11223.0,40.593389635034086,-73.97788666298273,L,400,200,115000,20000,135000
11191,11223.0,40.60476544753987,-73.96712015179993,M,200,100,95000,10000,105000
11193,11223.0,40.59604491164144,-73.97025156328694,L,400,200,115000,20000,135000
11195,11223.0,40.60033360320459,-73.97871744629623,L,400,200,115000,20000,135000
11196,11223.0,40.606950694900306,-73.97305213716096,L,400,200,115000,20000,135000
11203,11224.0,40.57695880233468,-73.99694049345831,L,400,200,115000,20000,135000
11214,11224.0,40.57116538966823,-73.99737546554154,L,400,200,115000,20000,135000
11227,11224.0,40.571524025468634,-73.98860934910337,L,400,200,115000,20000,135000
11254,11224.0,40.58267510403044,-73.98316303972678,L,400,200,115000,20000,135000
11262,11224.0,40.585699270058115,-73.99526223989704,L,400,200,115000,20000,135000
11275,11224.0,40.58058050468823,-73.99467563515127,L,400,200,115000,20000,135000
11281,11224.0,40.573083515590135,-73.98367791450096,S,100,50,65000,5000,70000
11285,11224.0,40.577101525080025,-73.98180051448878,L,400,200,115000,20000,135000
11307,11225.0,40.65357927808707,-73.94850871131628,L,400,200,115000,20000,135000
11311,11225.0,40.67117063226214,-73.9538428193138,L,400,200,115000,20000,135000
11320,11225.0,40.66035215880856,-73.95556466082284,L,400,200,115000,20000,135000
11324,11225.0,40.66476240403104,-73.94472957888031,L,400,200,115000,20000,135000
11374,11225.0,40.66338028057726,-73.95795583279559,L,400,200,115000,20000,135000
11383,11225.0,40.65333463606257,-73.95451800890342,L,400,200,115000,20000,135000
11389,11225.0,40.664722726196224,-73.96350738246362,L,400,200,115000,20000,135000
11390,11225.0,40.66953901833,-73.95615793287394,L,400,200,115000,20000,135000
11400,11226.0,40.64246405343699,-73.96445220243403,L,400,200,115000,20000,135000
11429,11226.0,40.64266692151047,-73.95392673037294,L,400,200,115000,20000,135000
11436,11226.0,40.6482046766762,-73.95450840119751,L,400,200,115000,20000,135000
11437,11226.0,40.63880643932595,-73.96481075553754,L,400,200,115000,20000,135000
11438,11226.0,40.65129144846879,-73.95041516848757,L,400,200,115000,20000,135000
11442,11226.0,40.64444533774054,-73.95289799840151,L,400,200,115000,20000,135000
11445,11226.0,40.65279105639935,-73.96412636926573,L,400,200,115000,20000,135000
