zipcode,pop_0_5,pop_0_12,is_high_demand,total_slots,under5_slots,min_total_slots,min_u5_slots,total_gap,u5_gap,is_desert,u5_deficit,n_expanded,slots_from_expansion,expansion_cost,n_new_facilities,slots_from_new,u5_from_new,new_build_cost
11210,3475,9958,False,2014,456,3320,2317,1306,1861,True,True,10.0,14.666666670000001,21266.6666715,10,3700,1850,1285000
11211,4961,10185,False,2453,130,3396,3308,943,3178,True,True,0.0,0.0,0.0,16,6400,3200,2160000
11212,5889,14099,True,5041,810,7050,3926,2009,3116,True,True,0.0,0.0,0.0,16,6400,3200,2160000
11213,4835,11394,True,2143,255,5698,3224,3555,2969,True,True,0.0,0.0,0.0,15,6000,3000,2025000
11214,5230,13364,True,2498,233,6683,3487,4185,3254,True,True,4.0,4.73333333,7613.333328500001,17,6500,3250,2230000
11215,5712,12203,False,3125,870,4068,3808,943,2938,True,True,0.0,0.0,0.0,15,6000,3000,2025000
11216,3107,7170,False,1778,204,2391,2072,613,1868,True,True,15.0,22.8,34560.0,10,3700,1850,1285000
11217,3694,6107,False,1183,198,2036,2463,853,2265,True,True,13.0,20.0,29000.0,12,4500,2250,1555000
11218,4931,13224,False,3087,518,4409,3288,1322,2770,True,True,0.0,0.0,0.0,14,5600,2800,1890000
11219,12125,26747,True,2595,1012,13374,8084,10779,7072,True,True,0.0,0.0,0.0,36,14200,7100,4830000
11220,5782,16687,True,2251,396,8344,3855,6093,3459,True,True,8.0,10.4,17080.0,18,6900,3450,2365000
11221,4616,11113,True,2971,715,5557,3078,2586,2363,True,True,0.0,0.0,0.0,12,4800,2400,1620000
11222,2443,4286,False,672,72,1429,1629,757,1557,True,True,0.0,0.0,0.0,8,3200,1600,1080000
11223,6642,15480,True,1448,144,7741,4428,6293,4284,True,True,0.0,0.0,0.0,22,8600,4300,2940000
11224,2274,6213,True,1165,90,3107,1516,1942,1426,True,True,0.0,0.0,0.0,8,2900,1450,1015000
11225,3053,6844,True,1985,433,3423,2036,1438,1603,True,True,3.0,3.3,5660.0,8,3200,1600,1080000
11226,5566,13037,True,3099,600,6519,3711,3420,3111,True,True,10.0,13.46666667,21026.666671500003,16,6200,3100,2130000
11228,2279,5786,False,1212,84,1929,1520,717,1436,True,True,0.0,0.0,0.0,8,2900,1450,1015000
11229,4778,12516,False,1840,288,4173,3186,2333,2898,True,True,0.0,0.0,0.0,15,5800,2900,1995000
11230,7918,17407,False,824,312,5803,5279,4979,4967,True,True,0.0,0.0,0.0,25,10000,5000,3375000
11231,3167,6877,False,1462,330,2293,2112,831,1782,True,True,0.0,0.0,0.0,9,3600,1800,1215000
11232,1542,4079,True,1699,292,2040,1028,341,736,True,True,0.0,0.0,0.0,4,1600,800,540000
11233,5703,12809,True,3415,444,6405,3802,2990,3358,True,True,0.0,0.0,0.0,17,6800,3400,2295000
11234,4665,12585,False,2870,720,4196,3110,1326,2390,True,True,0.0,0.0,0.0,12,4800,2400,1620000
11235,4313,9877,False,1753,330,3293,2876,1540,2546,True,True,0.0,0.0,0.0,13,5200,2600,1755000
11236,5712,14987,True,4600,1126,7494,3808,2894,2682,True,True,0.0,0.0,0.0,14,5400,2700,1860000
11237,2014,4816,True,1469,192,2409,1343,940,1151,True,True,0.0,0.0,0.0,6,2400,1200,810000
11238,4452,7710,False,2010,228,2571,2968,561,2740,True,True,0.0,0.0,0.0,14,5600,2800,1890000
11239,487,1861,True,802,110,931,325,129,215,True,True,8.0,19.6,32400.0,1,400,200,135000
11249,4774,9610,True,315,96,4806,3183,4491,3087,True,True,0.0,0.0,0.0,16,6200,3100,2130000
11354,2484,5249,True,1253,102,2625,1656,1372,1554,True,True,0.0,0.0,0.0,8,3200,1600,1080000
11355,3814,9038,True,3453,154,4520,2543,1067,2389,True,True,0.0,0.0,0.0,12,4800,2400,1620000
11356,2049,4307,True,882,150,2154,1366,1272,1216,True,True,12.0,21.333333330000002,31359.9999945,6,2400,1200,810000
11357,2193,5953,False,1087,72,1985,1462,898,1390,True,True,0.0,0.0,0.0,7,2800,1400,945000
11358,2023,4850,True,679,132,2426,1349,1747,1217,True,True,11.0,22.66666667,33880.0000055,6,2400,1200,810000
11360,859,1858,False,485,24,620,573,135,549,True,True,0.0,0.0,0.0,3,1200,600,405000
11361,1723,3899,False,1501,144,1300,1149,0,1005,False,True,5.0,6.666666670000001,9666.6666715,5,2000,1000,675000
11362,626,1789,False,349,48,597,418,248,370,True,True,0.0,0.0,0.0,2,800,400,270000
11363,334,1131,False,226,75,378,223,152,148,True,True,0.0,0.0,0.0,1,400,200,135000
11364,1901,5398,False,1330,60,1800,1268,470,1208,True,True,5.0,10.666666670000001,16000.0000055,6,2400,1200,810000
11365,2904,6822,True,1306,162,3412,1936,2106,1774,True,True,0.0,0.0,0.0,9,3600,1800,1215000
11366,832,1803,False,587,144,602,555,15,411,True,True,10.0,14.46666667,21226.6666715,2,800,400,270000
11367,3814,7908,True,2205,606,3955,2543,1750,1937,True,True,0.0,0.0,0.0,10,4000,2000,1350000
11368,7894,19240,True,3057,502,9621,5263,6564,4761,True,True,0.0,0.0,0.0,24,9600,4800,3240000
