zipcode,status,objective_value,expansion_cost,u5_expansion_equip,build_cost,u5_new_equip,expansion_slots,u5_expansion_slots,new_small,new_medium,new_large,new_total_slots,new_u5_slots,total_gap,u5_gap,is_high_demand,is_desert,pop_0_12,pop_0_5,current_total_slots,current_u5_slots,min_total_slots,min_u5_slots,req_total_gap,req_u5_gap
10314,OPTIMAL,2175653.1915,229953.19,55700.0,1610000.0,280000.0,557.0,557.0,0,0,14,5600.0,2800.0,2970,3357,False,True,13869,5269,1654,156,4624,3513,2970,3357
10451,OPTIMAL,513323.4432,382823.44,130500.0,0.0,0.0,1305.0,1305.0,0,0,0,0.0,0.0,1154,1305,True,True,8881,3494,3287,1025,4441,2330,1154,1305
10452,OPTIMAL,270594.347,195994.35,74600.0,0.0,0.0,746.0,746.0,0,0,0,0.0,0.0,402,746,True,True,14770,5461,6984,2895,7386,3641,402,746
10453,OPTIMAL,297912.1125,216612.11,81300.0,0.0,0.0,813.0,813.0,0,0,0,0.0,0.0,653,813,True,True,14986,5476,6841,2838,7494,3651,653,813
10454,OPTIMAL,521605.9524,389705.95,131900.0,0.0,0.0,1319.0,1319.0,0,0,0,0.0,0.0,632,1319,True,True,7588,2870,3163,595,3795,1914,632,1319
10455,OPTIMAL,363831.0509,181831.05,47000.0,115000.0,20000.0,636.0,470.0,0,0,1,400.0,200.0,1036,670,True,True,8141,2507,3035,1002,4071,1672,1036,670
10456,OPTIMAL,809356.2619,595456.26,213900.0,0.0,0.0,2139.0,2139.0,0,0,0,0.0,0.0,1260,2139,True,True,16312,6718,6897,2340,8157,4479,1260,2139
10457,OPTIMAL,757690.8514,559690.85,198000.0,0.0,0.0,1980.0,1980.0,0,0,0,0.0,0.0,1728,1980,True,True,16573,6785,6559,2544,8287,4524,1728,1980
10458,OPTIMAL,948363.5514,125463.55,12900.0,690000.0,120000.0,439.0,129.0,0,0,6,2400.0,1200.0,2839,1329,True,True,14991,5585,4657,2395,7496,3724,2839,1329
10459,OPTIMAL,524762.016,389862.02,134900.0,0.0,0.0,1349.0,1349.0,0,0,0,0.0,0.0,713,1349,True,True,9461,3973,4018,1300,4731,2649,713,1349
10460,OPTIMAL,402679.2334,299379.23,103300.0,0.0,0.0,1033.0,1033.0,0,0,0,0.0,0.0,380,1033,True,True,10346,3983,4794,1623,5174,2656,380,1033
10461,OPTIMAL,815166.6667,213166.67,62000.0,460000.0,80000.0,733.0,620.0,0,0,4,1600.0,800.0,2333,1420,True,True,7588,2750,1462,414,3795,1834,2333,1420
10462,OPTIMAL,1252071.4797,651771.48,195300.0,345000.0,60000.0,1953.0,1953.0,0,0,3,1200.0,600.0,2978,2553,True,True,12805,5581,3425,1168,6403,3721,2978,2553
10463,OPTIMAL,707013.0522,529013.05,178000.0,0.0,0.0,1780.0,1780.0,0,0,0,0.0,0.0,0,1780,False,False,10228,4453,4249,1189,3410,2969,0,1780
10464,OPTIMAL,31496.7742,27696.77,3800.0,0.0,0.0,53.0,38.0,0,0,0,0.0,0.0,53,38,False,True,499,75,114,12,167,50,53,38
10465,OPTIMAL,753452.4966,370352.5,113100.0,230000.0,40000.0,1131.0,1131.0,0,0,2,800.0,400.0,414,1531,False,True,6903,3268,1888,648,2302,2179,414,1531
10466,OPTIMAL,885081.5385,266981.54,78100.0,460000.0,80000.0,914.0,781.0,0,0,4,1600.0,800.0,2514,1581,True,True,11410,4393,3192,1348,5706,2929,2514,1581
10467,OPTIMAL,751473.4093,553173.41,198300.0,0.0,0.0,1983.0,1983.0,0,0,0,0.0,0.0,1980,1983,True,True,16398,6341,6220,2245,8200,4228,1980,1983
10468,OPTIMAL,1130234.4633,243134.46,77100.0,690000.0,120000.0,827.0,771.0,0,0,6,2400.0,1200.0,3227,1971,True,True,15037,6671,4292,2477,7519,4448,3227,1971
10469,OPTIMAL,1087538.0952,312638.1,99900.0,575000.0,100000.0,999.0,999.0,0,0,5,2000.0,1000.0,2965,1999,True,True,10559,4483,2315,990,5280,2989,2965,1999
10470,OPTIMAL,377352.5836,80352.58,27000.0,230000.0,40000.0,270.0,270.0,0,0,2,800.0,400.0,424,670,True,True,2110,1311,632,204,1056,874,424,670
10471,OPTIMAL,345950.0,59050.0,16900.0,230000.0,40000.0,169.0,169.0,0,0,2,800.0,400.0,514,569,False,True,2391,1015,284,108,798,677,514,569
10472,OPTIMAL,1007798.9011,676098.9,196700.0,115000.0,20000.0,1997.0,1967.0,0,0,1,400.0,200.0,2397,2167,True,True,11946,5321,3577,1381,5974,3548,2397,2167
10473,OPTIMAL,625263.8548,461763.85,163500.0,0.0,0.0,1635.0,1635.0,0,0,0,0.0,0.0,1117,1635,True,True,9260,3742,3514,860,4631,2495,1117,1635
10474,OPTIMAL,182562.008,133762.01,48800.0,0.0,0.0,488.0,488.0,0,0,0,0.0,0.0,100,488,True,True,2526,1001,1164,180,1264,668,100,488
10475,OPTIMAL,886854.1667,465354.17,151500.0,230000.0,40000.0,1515.0,1515.0,0,0,2,800.0,400.0,1333,1915,True,True,6280,3115,1808,162,3141,2077,1333,1915
11004,OPTIMAL,290012.1212,115412.12,39600.0,115000.0,20000.0,396.0,396.0,0,0,1,400.0,200.0,200,596,False,True,1879,894,427,0,627,596,200,596
11101,OPTIMAL,616776.7373,369376.74,112400.0,115000.0,20000.0,1124.0,1124.0,0,0,1,400.0,200.0,386,1324,True,True,4002,2111,1616,84,2002,1408,386,1324
11102,OPTIMAL,331312.6334,248712.63,82600.0,0.0,0.0,826.0,826.0,0,0,0,0.0,0.0,0,826,True,False,2676,1373,1390,90,1339,916,0,826
11103,OPTIMAL,491000.0,169000.0,52000.0,230000.0,40000.0,520.0,520.0,0,0,2,800.0,400.0,469,920,False,True,2976,1502,524,82,993,1002,469,920
11104,OPTIMAL,506625.1447,278225.14,93400.0,115000.0,20000.0,934.0,934.0,0,0,1,400.0,200.0,0,1134,False,False,3485,1769,1229,46,1162,1180,0,1134
11105,OPTIMAL,688409.0181,210209.02,73200.0,345000.0,60000.0,732.0,732.0,0,0,3,1200.0,600.0,681,1332,False,True,4530,2103,830,70,1511,1402,681,1332
11106,OPTIMAL,446420.5187,335120.52,111300.0,0.0,0.0,1113.0,1113.0,0,0,0,0.0,0.0,0,1113,False,False,4214,1948,1535,186,1405,1299,0,1113
11109,OPTIMAL,405000.0,0.0,0.0,345000.0,60000.0,0.0,0.0,0,0,3,1200.0,600.0,380,586,False,True,1406,878,89,0,469,586,380,586
11201,OPTIMAL,1741133.3333,511933.33,149200.0,920000.0,160000.0,1492.0,1492.0,0,0,8,3200.0,1600.0,1276,3092,False,True,9696,4950,1957,208,3233,3300,1276,3092
11203,OPTIMAL,828838.78,627638.78,201200.0,0.0,0.0,2012.0,2012.0,0,0,0,0.0,0.0,1564,2012,True,True,9936,4037,3405,680,4969,2692,1564,2012
11204,OPTIMAL,2339723.287,752323.29,237400.0,1150000.0,200000.0,2374.0,2374.0,0,0,10,4000.0,2000.0,5491,4374,True,True,17365,7209,3192,432,8683,4806,5491,4374
11205,OPTIMAL,1848976.2376,280776.24,83200.0,1265000.0,220000.0,832.0,832.0,0,0,11,4400.0,2200.0,2793,3032,False,True,11132,4751,918,136,3711,3168,2793,3032
11206,OPTIMAL,2295707.2464,1046307.25,304400.0,805000.0,140000.0,3044.0,3044.0,0,0,7,2800.0,1400.0,5385,4444,True,True,17234,7202,3233,358,8618,4802,5385,4444
11207,OPTIMAL,1162298.9277,871798.93,290500.0,0.0,0.0,2905.0,2905.0,0,0,0,0.0,0.0,1678,2905,True,True,15722,6376,6184,1346,7862,4251,1678,2905
11208,OPTIMAL,2170753.367,935753.37,290000.0,805000.0,140000.0,2900.0,2900.0,0,0,7,2800.0,1400.0,4760,4300,True,True,19627,8276,5054,1218,9814,5518,4760,4300
11209,OPTIMAL,1442496.3462,373396.35,124100.0,805000.0,140000.0,1241.0,1241.0,0,0,7,2800.0,1400.0,1806,2641,False,True,9684,4186,1423,150,3229,2791,1806,2641
11210,OPTIMAL,949350.0,533250.0,146100.0,230000.0,40000.0,1461.0,1461.0,0,0,2,800.0,400.0,1306,1861,False,True,9958,3475,2014,456,3320,2317,1306,1861
11211,OPTIMAL,1551767.6122,773967.61,237800.0,460000.0,80000.0,2378.0,2378.0,0,0,4,1600.0,800.0,943,3178,False,True,10185,4961,2453,130,3396,3308,943,3178
11212,OPTIMAL,1300497.3422,988897.34,311600.0,0.0,0.0,3116.0,3116.0,0,0,0,0.0,0.0,2009,3116,True,True,14099,5889,5041,810,7050,3926,2009,3116
